# Emoji Keywords — emoji<TAB>kw1 kw2 kw3 ...
#
# Per-emoji search synonyms attached as invisible rofi metadata, alongside
# the cluster aliases in emoji-aliases.txt. Matched by the rofi filter,
# never displayed in the picker rows.
#
# Format
#   <emoji><TAB>keyword<SPACE>keyword<SPACE>...
#
# Notes
#   - Comments start with #. Blank lines ignored.
#   - The same emoji may be repeated; the handler merges all occurrences.
#   - Read by ~/.config/sway/scripts/emoji-modi-handler on every picker launch.
#
# The first 545 entries below were generated from
# /usr/share/oh-my-zsh/plugins/emoji/gemoji_db.json (CLDR aliases + tags,
# deduped against the description and stopwords). Manual additions to
# extend coverage and refine search are appended below the auto block.

# === Auto (gemoji-derived) ===
0️⃣	zero
🇩🇯	bandera yibuti cuerno-de-áfrica cuerno-de-africa mar-rojo yibutiano
🇩🇰	bandera dinamarca copenhague danés danes nórdico nordico dannebrog
🇩🇲	bandera roseau caribe antillas dominiqués dominiques
🇩🇴	bandera dominicana santo-domingo caribe quisqueya antillas
🇩🇿	bandera argelia argel magreb argelino
🇪🇦	bandera españa espana marruecos mediterráneo mediterraneo autónomas autonomas
🇪🇨	bandera quito ecuatoriano galápagos galapagos guayaquil andes
🇪🇪	bandera tallin báltico baltico estonio nórdico nordico
🇪🇬	bandera egipto cairo nilo pirámides piramides egipcio
🇪🇭	bandera occidental saharaui aaiún aaiun polisario
🇪🇷	bandera asmara mar-rojo eritreo cuerno-de-áfrica cuerno-de-africa
🇪🇸	bandera españa espana madrid español espanol rojigualda ibérica iberica
🇪🇹	bandera etiopía etiopia adís-abeba adis-abeba etíope etiope abisinia cuerno-de-áfrica cuerno-de-africa
🇪🇺	ue bruselas euro eurozona schengen
🇫🇮	finlandia helsinki finlandés finlandes suomi nórdico nordico
🇫🇯	fiyi suva pacífico pacifico melanesia islas
🇫🇰	malvinas stanley atlántico-sur atlantico-sur británico britanico islas
🇫🇲	palikir pacífico pacifico islas estados-federados
🇫🇴	feroe tórshavn torshavn dinamarca nórdico nordico islas
🇫🇷	francia parís paris francés frances tricolor galia
🇬🇦	libreville gabonés gabones áfrica-central africa-central golfo-guinea
🇬🇧	reino-unido londres inglaterra union-jack gran-bretaña gran-bretana
🇬🇩	granada caribe antillas nuez-moscada saint-georges
🇬🇪	tiflis tbilisi cáucaso caucaso georgiano sakartvelo
🇬🇫	guayana-francesa cayena sudamérica sudamerica kourou ultramar
🇬🇬	islas-normandas saint-peter-port canal-mancha bailía bailia
🇬🇭	acra accra ghanés ghanes costa-oro áfrica-occidental africa-occidental
🇬🇮	peñón penon estrecho británico britanico ultramar roca
🇬🇱	groenlandia nuuk ártico artico hielo kalaallit
🇬🇲	banjul gambiano áfrica-occidental africa-occidental atlántico atlantico
🇬🇳	conakry conakri guineano áfrica-occidental africa-occidental
🇬🇵	guadalupe caribe antillas basse-terre francesa
🇬🇶	guinea-ecuatorial malabo ecuatoguineano hispanohablante bata
🇬🇷	grecia atenas griego heleno egeo
🇬🇸	georgias-del-sur sandwich-del-sur grytviken atlántico-sur atlantico-sur británico britanico
🇬🇹	guatemalteco chapín chapin centroamérica centroamerica quetzal maya
🇬🇺	chamorro pacífico pacifico micronesia agaña agana isla
🇬🇼	bisáu bisau áfrica-occidental africa-occidental lusófono lusofono atlántico atlantico
🇬🇾	guayana georgetown guyanés guyanes sudamérica sudamerica caribe
🇭🇰	hongkong bauhinia cantonés cantones hkg
🇭🇲	subantártico subantartico australia océano-índico oceano-indico deshabitado volcán volcan
🇭🇳	hondureño hondureno catracho tegucigalpa centroamérica centroamerica
🇭🇷	croacia zagreb croata balcanes adriático adriatico
🇭🇹	haitiano puerto-príncipe puerto-principe caribe hispaniola antillas
🇭🇺	hungría hungria budapest húngaro hungaro magiar danubio
🇮🇨	canarias tenerife gran-canaria españa espana canario
🇮🇩	yakarta jakarta indonesio bali sudeste-asiático sudeste-asiatico
🇮🇪	irlanda dublín dublin irlandés irlandes eire trébol trebol
🇮🇱	israelí israeli jerusalén jerusalen tel-aviv estrella-david hebreo
🇮🇲	douglas triskelion manx tres-piernas dependencia-corona
🇮🇳	nueva-delhi indio bollywood chakra taj-mahal
🇮🇴	chagos diego-garcia índico indico archipiélago archipielago ultramar
🇮🇶	irak bagdad iraquí iraqui mesopotamia oriente-medio
🇮🇷	teherán teheran persia persa iraní irani oriente-medio
🇮🇸	islandia reikiavik reykjavik islandés islandes nórdico nordico
🇮🇹	italia roma italiano tricolor mediterráneo mediterraneo
🇯🇪	saint-helier islas-normandas canal-mancha dependencia-corona
🇯🇲	kingston jamaicano caribe reggae antillas
🇯🇴	jordania amán aman jordano petra oriente-medio
🇯🇵	japón japon tokio japonés japones nipón nipon sol-naciente
🇰🇪	nairobi keniano safari áfrica-oriental africa-oriental masái masai
🇰🇬	kirguistán kirguistan biskek kirguís kirguis asia-central
🇰🇭	camboya phnom-penh jemer angkor sudeste-asiático sudeste-asiatico
🇰🇮	tarawa pacífico pacifico micronesia atolón atolon fragata
🇰🇲	comoras moroni índico indico archipiélago archipielago creciente
🇰🇳	san-cristóbal san-cristobal basseterre caribe antillas sotavento
🇰🇵	corea-del-norte pionyang pyongyang norcoreano rpdc
🇰🇷	corea-del-sur seúl seul surcoreano kpop taeguk
🇰🇼	kuwaití kuwaiti golfo-pérsico golfo-persico oriente-medio petróleo petroleo árabe arabe
🇰🇾	caimán caiman george-town caribe antillas offshore
🇰🇿	kazajistán kazajistan astaná astana kazajo asia-central estepa
🇱🇦	vientián vientian laosiano mekong sudeste-asiático sudeste-asiatico indochina
🇱🇧	líbano libano beirut libanés libanes cedro oriente-medio
🇱🇨	santa-lucía santa-lucia caribe caribbean castries antillas
🇱🇮	vaduz alpes alps principado microestado
🇱🇰	ceilán ceilan ceylon colombo srilanka isla
🇱🇷	monrovia liberiano west-africa áfrica-occidental africa-occidental
🇱🇸	maseru basotho enclave reino southern-africa
🇱🇹	lituania vilnius báltico baltico baltic lituano
🇱🇺	luxemburgo gran-ducado ducado benelux
🇱🇻	letonia riga báltico baltico baltic letón leton
🇱🇾	libia trípoli tripoli magreb maghreb sahara
🇲🇦	marruecos rabat marrakech magreb marroquí marroqui
🇲🇨	montecarlo principado casino f1 riviera
🇲🇩	moldavia chisinau moldavo europa-del-este
🇲🇪	podgorica balcanes balkans adriático adriatico montenegrino
🇲🇫	san-martín san-martin caribe caribbean marigot antillas
🇲🇬	antananarivo malgache isla océano-índico oceano-indico
🇲🇭	islas-marshall majuro pacífico pacifico pacific micronesia
🇲🇰	macedonia-del-norte skopje skopie balcanes balkans
🇲🇱	bamako sahel tombuctú tombuctu timbuktu maliense
🇲🇲	birmania naypyidaw yangon rangún rangun birmano
🇲🇳	ulaanbaatar ulán-bator ulan-bator mongol estepa gengis-kan
🇲🇴	casinos apuestas gambling cantonés cantones
🇲🇵	marianas saipán saipan pacífico pacifico micronesia
🇲🇶	martinica caribe caribbean antillas fort-de-france
🇲🇷	nuakchot nouakchott sahara sahel magreb
🇲🇸	caribe caribbean antillas volcán volcan plymouth
🇲🇹	valletta valeta mediterráneo mediterraneo maltés maltes isla
🇲🇺	mauricio port-louis océano-índico oceano-indico isla
🇲🇻	maldivas malé male atolón atolon océano-índico oceano-indico islas
🇲🇼	malaui lilongwe blantyre lago southern-africa
🇲🇽	mexicano azteca tricolor águila aguila cdmx viva-méxico viva-mexico
🇲🇾	malasia kuala-lumpur malayo borneo sudeste-asiático sudeste-asiatico
🇲🇿	maputo mozambiqueño mozambiqueno lusófono lusofono océano-índico oceano-indico
🇳🇦	windhoek namib desierto namibio southern-africa
🇳🇨	nueva-caledonia numea noumea pacífico pacifico melanesia
🇳🇪	niamey sahel sahara nigerino áfrica-occidental africa-occidental
🇳🇫	isla-norfolk pacífico pacifico australia kingston
🇳🇬	abuja lagos nigeriano naija áfrica-occidental africa-occidental
🇳🇮	managua nica nicaragüense nicaraguense centroamérica centroamerica central-america
🇳🇱	países-bajos paises-bajos holanda holland ámsterdam amsterdam neerlandés neerlandes dutch
🇳🇴	noruega oslo escandinavia nórdico nordico fiordos
🇳🇵	katmandú katmandu kathmandu himalaya everest nepalí nepali
🇳🇷	pacífico pacifico micronesia isla yaren
🇳🇺	pacífico pacifico polinesia isla alofi
🇳🇿	nueva-zelanda aotearoa kiwi wellington maorí maori
🇴🇲	mascate muscat omaní omani golfo-pérsico golfo-persico península-arábiga peninsula-arabiga
🇵🇦	canal istmo centroamérica centroamerica panameño panameno central-america
🇵🇪	lima peruano andes machu-picchu inca
🇵🇫	polinesia-francesa tahití tahiti papeete bora-bora pacífico pacifico
🇵🇬	nueva-guinea port-moresby melanesia pacífico pacifico
🇵🇭	filipinas manila filipino pinoy sudeste-asiático sudeste-asiatico
🇵🇰	islamabad karachi lahore paquistaní paquistani urdu
🇵🇱	polonia varsovia warsaw polaco cracovia
🇵🇲	san-pedro-y-miquelón san-pedro-y-miquelon francesa atlántico atlantico norteamérica norteamerica
🇵🇳	bounty adamstown pacífico pacifico británica britanica isla
🇵🇷	boricua borinquen san-juan caribe antillas
🇵🇸	palestina gaza cisjordania ramala west-bank
🇵🇹	lisboa lisbon portugués portugues luso oporto
🇵🇼	palaos micronesia pacífico pacifico ngerulmud isla
🇵🇾	asunción asuncion guaraní guarani paraguayo sudamérica sudamerica mercosur
🇶🇦	catar doha golfo-pérsico golfo-persico catarí catari península-arábiga peninsula-arabiga
🇷🇪	isla island francia french ultramar saint-denis
🇷🇴	rumania rumano bucarest bucharest balcanes
🇷🇸	serbio serbian belgrado belgrade balcanes
🇷🇺	rusia ruso moscú moscu moscow kremlin
🇷🇼	ruanda kigali ruandés ruandes rwandan
🇸🇦	saudita riad riyadh meca golfo ksa
🇸🇧	salomón salomon honiara islas pacífico pacifico melanesia
🇸🇨	victoria islas índico indico archipiélago archipielago mahé mahe
🇸🇩	jartum khartoum nilo sudanés sudanes sahel
🇸🇪	suecia sueco estocolmo stockholm escandinavia
🇸🇬	singapur merlion ciudad-estado singapurense sudeste-asiático sudeste-asiatico
🇸🇭	santa-elena napoleón napoleon atlántico atlantico jamestown isla
🇸🇮	eslovenia esloveno liubliana ljubljana alpes
🇸🇯	noruega norway ártico artico spitsbergen longyearbyen
🇸🇰	eslovaquia eslovaco bratislava slovak centroeuropa
🇸🇱	freetown leona krio atlántico atlantico
🇸🇲	sanmarinense italia microestado enclave titano
🇸🇳	dakar senegalés senegales senegalese teranga sahel
🇸🇴	somalí somali mogadiscio mogadishu cuerno
🇸🇷	surinam paramaribo guayana sudamérica sudamerica neerlandés neerlandes
🇸🇸	juba nilo sudán-del-sur sudan-del-sur sursudanés sursudanes
🇸🇹	islas portugués portugues guinea archipiélago archipielago
🇸🇻	salvadoreño salvadoreno centroamérica centroamerica san-salvador pulgarcito
🇸🇽	caribe philipsburg neerlandés neerlandes antillas isla
🇸🇾	siria damasco damascus sirio levante
🇸🇿	suazilandia suazi mbabane lobamba
🇹🇦	atlántico atlantico isla remota británico britanico
🇹🇨	caribe islas cockburn británico britanico
🇹🇩	chadiano yamena ndjamena sahel sahara
🇹🇫	kerguelen taaf antártico antartico francia australes
🇹🇬	lomé lome togolés togoles togolese guinea
🇹🇭	tailandia tailandés tailandes bangkok siam sudeste-asiático sudeste-asiatico
🇹🇯	tayikistán tayikistan tayiko dusambé dusambe dushanbe
🇹🇰	polinesia nueva-zelanda atolón atolon pacífico pacifico islas
🇹🇱	dili oriental portugués portugues isla
🇹🇲	asgabat ashgabat turcomano caspio karakum
🇹🇳	túnez tunez tunecino magreb cartago tunis
🇹🇴	nukualofa polinesia pacífico pacifico islas reino
🇹🇷	turquía turquia turkey ankara estambul turco
🇹🇹	caribe puerto-españa puerto-espana islas antillas
🇹🇻	funafuti polinesia atolón atolon pacífico pacifico islas
🇹🇼	taipéi taipei formosa taiwanés taiwanes isla
🇹🇿	dodoma kilimanjaro zanzíbar zanzibar tanzano safari
🇺🇦	ucrania kiev kyiv ucraniano
🇺🇬	kampala ugandés ugandes nilo victoria
🇺🇲	islas midway wake menores pacífico pacifico
🇺🇳	onu naciones-unidas azul internacional paz
🇺🇸	estados-unidos usa eeuu eua gringo washington
🇺🇾	montevideo uruguayo charrúa charrua sudamérica sudamerica
🇺🇿	taskent tashkent samarcanda uzbeko
🇻🇦	vaticano papa pope roma santa-sede
🇻🇨	caribe kingstown granadinas islas antillas
🇻🇪	caracas venezolano sudamérica sudamerica orinoco arepa
🇻🇬	caribe road-town islas vírgenes virgenes
🇻🇮	caribe charlotte-amalie islas vírgenes virgenes estadounidenses
🇻🇳	hanói hanoi saigón saigon vietnamita indochina
🇻🇺	port-vila melanesia pacífico pacifico islas
🇼🇫	polinesia francia mata-utu pacífico pacifico islas
🇼🇸	apia polinesia pacífico pacifico samoano islas
🇽🇰	pristina prishtina balcanes kosovar
🇾🇪	yemení yemeni saná sana sanaa oriente-medio middle-east península-arábiga peninsula-arabiga
🇾🇹	mahorés mahores mamoudzou comoras francia océano-índico oceano-indico indian-ocean
🇿🇦	sudáfrica sudafrica sudafricano pretoria johannesburgo ciudad-del-cabo cape-town
🇿🇲	zambiano zambian lusaka zambeze cataratas-victoria áfrica-austral africa-austral
🇿🇼	zimbabue zimbabuense harare rodesia rhodesia áfrica-austral africa-austral
🏴󠁧󠁢󠁥󠁮󠁧󠁿	inglaterra londres inglés ingles reino-unido uk gran-bretaña gran-bretana
🏴󠁧󠁢󠁳󠁣󠁴󠁿	escocia escocés escoces edimburgo san-andrés san-andres reino-unido uk
🏴󠁧󠁢󠁷󠁬󠁳󠁿	gales galés cardiff cymru reino-unido uk
